Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure ,Precipitation ,Events ,Wind Direction
2015-2-17,62,MODERATE,63,MODERATE,PM2.5,11,19,32,37,42,63,14,7,67,12,8,30,T,Snow,281
2015-2-18,63,MODERATE,78,MODERATE,PM2.5,6,40,35,35,64,78,3,-7,64,15,9,30.29,T,Snow,305
2015-2-19,78,MODERATE,76,MODERATE,PM2.5,6,51,41,33,57,76,-2,-15,55,11,10,30.43,0,,299
2015-2-20,76,MODERATE,65,MODERATE,PM2.5,7,7,49,31,56,65,6,0,63,13,8,30.41,0.01,Snow,186
2015-2-21,65,MODERATE,85,MODERATE,PM2.5,10,13,40,30,54,85,25,17,68,4,8,30.17,T,Snow,229
2015-2-22,85,MODERATE,64,MODERATE,PM2.5,9,9,30,38,33,64,15,4,60,13,10,30.71,T,Snow,325
2015-2-23,64,MODERATE,61,MODERATE,PM2.5,7,29,42,34,32,61,4,-10,50,10,10,30.76,0,,282
2015-2-24,61,MODERATE,58,MODERATE,PM2.5,8,39,33,38,52,58,17,8,63,16,9,30.25,0.01,Snow,246
2015-2-25,58,MODERATE,41,GOOD,PM10,9,11,35,38,41,27,18,11,67,8,5,30.06,0.17,Snow,20
2015-2-26,41,GOOD,52,MODERATE,PM2.5,10,17,43,34,24,52,10,7,69,13,4,30.47,0.17,Fog-Snow,2
2015-2-27,52,MODERATE,70,MODERATE,PM2.5,11,24,48,40,46,70,6,-6,59,8,10,30.71,0,,275
2015-2-28,70,MODERATE,72,MODERATE,PM2.5,16,23,71,46,46,72,6,2,65,5,8,30.77,0.02,Snow,173
2015-3-1,72,MODERATE,78,MODERATE,PM2.5,6,29,47,45,32,78,18,13,80,7,7,30.46,T,Snow,252
2015-3-2,78,MODERATE,70,MODERATE,PM2.5,8,33,42,41,48,70,23,12,60,7,10,30.55,0,,234
2015-3-3,70,MODERATE,63,MODERATE,PM2.5,5,34,39,38,30,63,29,25,78,13,5,30.23,0.13,Rain-Snow,198
2015-3-4,63,MODERATE,75,MODERATE,PM2.5,5,24,36,41,38,75,21,7,60,13,10,30.38,0,,304
2015-3-5,75,MODERATE,56,MODERATE,PM2.5,5,13,43,43,32,56,10,-4,56,10,10,30.58,0,,296
2015-3-6,56,MODERATE,66,MODERATE,PM2.5,3,20,44,45,43,66,14,8,69,13,10,30.55,0,,209
2015-3-7,66,MODERATE,67,MODERATE,PM2.5,3,57,42,48,31,67,34,25,68,10,9,30.15,0,,254
2015-3-8,67,MODERATE,53,MODERATE,PM2.5,6,49,42,43,17,53,34,26,70,7,10,30.24,0,,250
2015-3-9,53,MODERATE,72,MODERATE,PM2.5,9,10,71,44,19,72,38,28,69,6,9,30.21,0,,209
2015-3-10,72,MODERATE,86,MODERATE,PM2.5,7,33,52,41,31,86,43,37,83,7,3,30.09,0,Fog,216
2015-3-11,86,MODERATE,78,MODERATE,PM2.5,16,13,56,43,36,78,41,30,67,6,7,30.45,0,,3
2015-3-12,78,MODERATE,61,MODERATE,NO2,10,6,61,44,17,58,42,28,57,9,10,30.51,0,,134
2015-3-13,61,MODERATE,105,UNHEALTHY FOR SENSITIVE GROUPS,PM2.5,6,16,46,38,55,105,51,33,54,6,10,30.32,0,,201
2015-3-14,105,UNHEALTHY FOR SENSITIVE GROUPS,54,MODERATE,PM2.5,7,11,45,40,43,54,49,35,61,12,10,30.2,0,,325
2015-3-15,54,MODERATE,50,GOOD,PM2.5,8,16,46,43,30,50,46,33,64,10,10,30.28,0,,222
2015-3-16,50,GOOD,62,MODERATE,PM10,7,9,38,49,62,55,58,38,59,13,10,29.97,0,,256
2015-3-17,62,MODERATE,85,MODERATE,PM10,11,9,49,41,85,40,37,23,57,14,10,30.36,0,,35
2015-3-18,85,MODERATE,53,MODERATE,NO2,11,50,53,43,44,41,39,16,45,5,10,30.36,0,,194
2015-3-19,53,MODERATE,64,MODERATE,PM10,11,6,49,43,64,46,42,18,43,8,10,30.28,0,,101
2015-3-20,64,MODERATE,62,MODERATE,PM2.5,10,23,43,40,45,62,44,34,71,9,10,30.11,0,,225
2015-3-21,62,MODERATE,49,GOOD,PM2.5,9,27,35,39,27,49,41,32,73,10,8,30.25,0,,43
2015-3-22,49,GOOD,76,MODERATE,PM2.5,9,19,25,39,18,76,31,20,64,11,8,30.34,0.02,Snow,52
2015-3-23,76,MODERATE,48,GOOD,PM2.5,14,6,28,37,20,48,30,25,85,11,4,30.31,0.61,Fog-Snow,74
2015-3-24,48,GOOD,53,MODERATE,PM2.5,22,20,34,43,38,53,28,21,68,11,10,30.31,0.04,Rain,95
2015-3-25,53,MODERATE,66,MODERATE,PM2.5,10,16,34,30,29,66,38,34,87,11,6,30.06,0.25,Rain,253
2015-3-26,66,MODERATE,37,GOOD,Ozone,11,6,36,37,30,29,37,25,66,11,10,30.09,0,,309
2015-3-27,37,GOOD,57,MODERATE,PM10,13,4,27,42,57,22,26,16,64,12,7,30.24,0.04,Snow,21
2015-3-28,57,MODERATE,46,GOOD,NO2,14,14,46,45,22,31,28,11,52,7,10,30.37,0,,51
2015-3-29,46,GOOD,56,MODERATE,SO2,7,56,45,34,26,51,36,25,63,15,9,30.28,0.01,Rain-Snow,210
2015-3-30,56,MODERATE,65,MODERATE,SO2,7,65,40,42,51,35,48,31,54,11,10,30.07,T,,275
2015-3-31,65,MODERATE,54,MODERATE,PM2.5,9,39,50,44,43,54,49,35,67,9,9,29.97,0,,330
2015-4-1,54,MODERATE,139,UNHEALTHY FOR SENSITIVE GROUPS,PM2.5,7,52,60,64,69,139,54,36,58,12,10,30.06,0,,188
2015-4-2,139,UNHEALTHY FOR SENSITIVE GROUPS,61,MODERATE,PM2.5,9,6,44,40,37,61,58,44,67,11,9,29.86,0.36,Rain,239
2015-4-3,61,MODERATE,42,GOOD,NO2,9,9,42,30,36,30,42,29,65,10,10,30.19,T,Rain,354
2015-4-4,42,GOOD,47,GOOD,NO2,7,27,47,42,28,38,43,22,54,11,10,30.29,0,,253
2015-4-5,47,GOOD,54,MODERATE,Ozone,7,9,49,54,25,41,51,26,52,10,10,30.11,0,,252
2015-4-6,54,MODERATE,53,MODERATE,PM2.5,15,4,41,38,52,53,48,35,67,7,10,30.09,0.04,Rain,68
2015-4-7,53,MODERATE,65,MODERATE,PM2.5,24,14,24,40,32,65,42,38,88,14,6,30.12,T,Rain,51
2015-4-8,65,MODERATE,63,MODERATE,PM2.5,19,11,28,35,48,63,45,41,90,9,3,30,0.05,Fog-Rain,47
2015-4-9,63,MODERATE,61,MODERATE,PM2.5,17,3,31,32,36,61,56,52,80,14,4,29.86,1.41,Fog-Rain-Thunderstorm,145
2015-4-10,61,MODERATE,43,GOOD,Ozone,9,27,31,43,30,38,51,37,60,17,10,30.16,T,Rain,274
2015-4-11,43,GOOD,52,MODERATE,NO2,10,20,52,49,23,45,50,32,56,8,10,30.27,0,,236
2015-4-12,52,MODERATE,51,MODERATE,PM2.5,9,11,37,50,29,51,55,35,50,11,10,30.16,T,Rain,177
2015-4-13,51,MODERATE,45,GOOD,Ozone,10,40,44,45,29,40,57,41,59,13,9,30.18,0.22,Rain-Thunderstorm,258
2015-4-14,45,GOOD,65,MODERATE,PM10,16,26,50,49,65,35,53,22,37,5,10,30.28,0,,58
2015-4-15,65,MODERATE,79,MODERATE,PM2.5,13,24,45,61,52,79,54,28,40,11,10,30.28,0,,68
2015-4-16,79,MODERATE,55,MODERATE,PM2.5,14,16,55,46,40,55,56,39,61,7,9,30.15,T,Rain,83
2015-4-17,55,MODERATE,90,MODERATE,Ozone,15,26,73,90,72,77,62,45,62,5,9,30.11,0,,244
2015-4-18,90,MODERATE,67,MODERATE,PM2.5,15,13,60,67,58,67,56,40,62,10,10,30.1,0,,33
2015-4-19,67,MODERATE,48,GOOD,Ozone,14,24,29,48,31,44,58,41,65,10,7,29.96,0.46,Rain,59
2015-4-20,48,GOOD,40,GOOD,PM2.5,14,23,22,32,23,40,47,42,77,16,8,29.62,0.01,Rain,263
2015-4-21,40,GOOD,51,MODERATE,PM10,10,33,26,42,51,45,46,27,53,20,10,29.7,T,,268
2015-4-22,51,MODERATE,46,GOOD,SO2,13,46,38,40,34,31,40,24,56,13,10,29.9,T,Snow,288
2015-4-23,46,GOOD,63,MODERATE,NO2,14,17,63,48,33,40,44,22,46,9,10,30.07,0,,303
