Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-2-17,40,GOOD,54,MODERATE,PM2.5,6,13,42,34,11,54,17,6,63,8,7,29.93,0.02,Snow,338
2015-2-18,54,MODERATE,60,MODERATE,PM2.5,7,14,53,38,.,60,23,16,66,5,8,29.83,0.01,Snow,337
2015-2-19,60,MODERATE,66,MODERATE,PM2.5,7,4,42,38,11,66,20,14,71,14,6,29.61,0.06,Snow,263
2015-2-20,66,MODERATE,53,MODERATE,PM2.5,5,3,32,36,10,53,13,-6,45,19,10,30.04,0,,273
2015-2-21,53,MODERATE,62,MODERATE,PM2.5,6,6,44,37,12,62,19,16,70,11,5,30.36,0.17,Rain-Snow,201
2015-2-22,62,MODERATE,59,MODERATE,PM2.5,10,4,44,38,9,59,34,29,85,5,8,30.14,0.11,Rain-Snow,245
2015-2-23,59,MODERATE,54,MODERATE,PM2.5,9,31,35,40,20,54,19,2,51,15,10,30.18,0,,298
2015-2-24,54,MODERATE,53,MODERATE,PM2.5,6,6,37,32,9,53,11,-4,60,9,10,30.18,T,Snow,221
2015-2-25,53,MODERATE,60,MODERATE,PM2.5,8,7,47,39,11,60,25,11,63,11,8,29.8,0.07,Snow,287
2015-2-26,60,MODERATE,51,MODERATE,PM2.5,3,24,37,32,14,51,20,8,65,9,8,30.05,0.02,Snow,351
2015-2-27,51,MODERATE,58,MODERATE,PM2.5,6,31,47,37,9,58,21,-2,41,8,10,30.34,0,,305
2015-2-28,58,MODERATE,56,MODERATE,PM2.5,6,43,40,41,12,56,22,1,43,9,10,30.69,0,,273
2015-3-1,56,MODERATE,64,MODERATE,PM2.5,7,6,53,39,20,64,21,16,66,6,6,30.46,0.17,Snow,206
2015-3-2,64,MODERATE,63,MODERATE,PM2.5,6,24,36,44,12,63,32,19,67,14,9,30.03,0.01,Rain-Snow,280
2015-3-3,63,MODERATE,40,GOOD,Ozone,3,4,40,40,7,38,27,14,60,10,6,30.17,0.26,Rain-Snow,213
2015-3-4,40,GOOD,48,GOOD,PM2.5,6,1,39,41,6,48,38,32,75,11,10,29.75,0.02,Rain,236
2015-3-5,48,GOOD,52,MODERATE,PM2.5,6,16,31,41,7,52,29,11,56,12,9,30.07,T,Snow,316
2015-3-6,52,MODERATE,43,GOOD,PM2.5,5,24,35,39,10,43,17,-1,48,10,10,30.42,0,,277
2015-3-7,43,GOOD,64,MODERATE,PM2.5,6,4,34,45,19,64,28,12,48,11,10,30.11,0,,226
2015-3-8,64,MODERATE,66,MODERATE,PM2.5,7,4,45,46,17,66,33,20,58,9,10,30.03,T,Snow,247
2015-3-9,66,MODERATE,55,MODERATE,PM2.5,6,1,47,47,9,55,37,19,56,10,10,30.11,0,,242
2015-3-10,55,MODERATE,58,MODERATE,PM2.5,7,4,58,50,18,58,40,28,69,7,8,30.19,0.06,Rain,193
2015-3-11,58,MODERATE,52,MODERATE,PM2.5,6,6,42,49,.,52,47,34,65,12,7,29.86,0.01,Fog-Rain,245
2015-3-12,52,MODERATE,41,GOOD,Ozone,3,1,23,41,7,36,34,12,42,17,10,30.28,0,,315
2015-3-13,41,GOOD,41,GOOD,Ozone,5,1,38,41,11,37,32,7,45,11,10,30.53,0,,269
2015-3-14,41,GOOD,43,GOOD,NO2,7,1,43,37,5,39,35,32,80,8,4,30.03,0.8,Fog-Rain,56
2015-3-15,43,GOOD,40,GOOD,Ozone,5,1,20,40,2,35,34,30,85,14,5,29.65,0.27,Fog-Rain-Snow,329
2015-3-16,40,GOOD,57,MODERATE,NO2,7,4,57,44,24,30,36,14,41,9,10,29.86,0,,275
2015-3-17,57,MODERATE,52,MODERATE,PM2.5,8,3,44,37,13,52,40,27,66,14,8,29.58,0.14,Rain-Snow,250
2015-3-18,52,MODERATE,42,GOOD,Ozone,3,13,19,42,10,34,26,0,35,22,10,29.88,0,,302
2015-3-19,42,GOOD,43,GOOD,Ozone,3,24,30,43,11,34,27,-2,30,16,10,30.19,0,,306
2015-3-20,43,GOOD,53,MODERATE,NO2,6,4,53,38,9,44,28,13,67,4,7,30.32,0.05,Snow,150
2015-3-21,53,MODERATE,59,MODERATE,PM2.5,7,1,37,41,6,59,35,29,78,7,5,29.99,0.09,Snow,57
2015-3-22,59,MODERATE,36,GOOD,PM2.5,5,17,13,36,7,36,30,5,38,18,10,29.93,0,,296
2015-3-23,36,GOOD,41,GOOD,PM2.5,3,14,24,36,7,41,26,0,38,15,10,30.13,0,,290
2015-3-24,41,GOOD,50,GOOD,PM2.5,5,26,41,39,10,50,28,15,59,8,10,30.31,0,,214
2015-3-25,50,GOOD,54,MODERATE,PM2.5,9,6,51,44,24,54,39,22,60,9,10,30.33,0.04,Rain,181
2015-3-26,54,MODERATE,56,MODERATE,PM2.5,6,1,38,38,8,56,47,45,86,9,5,29.82,0.8,Fog-Rain,223
2015-3-27,56,MODERATE,41,GOOD,PM2.5,8,1,36,30,6,41,41,38,88,5,9,29.71,0.21,Rain,9
2015-3-28,41,GOOD,41,GOOD,PM2.5,8,3,28,38,6,41,35,30,78,13,4,29.81,0.12,Fog-Rain-Snow,355
2015-3-29,41,GOOD,44,GOOD,Ozone,5,16,35,44,8,36,34,11,40,9,10,30.13,0,,272
2015-3-30,44,GOOD,45,GOOD,PM2.5,5,1,37,40,10,45,38,27,59,13,9,29.84,T,Rain-Snow,214
2015-3-31,45,GOOD,44,GOOD,Ozone,5,3,31,44,12,37,44,24,51,12,10,29.73,0,,279
2015-4-1,44,GOOD,48,GOOD,NO2,5,3,48,46,.,44,39,7,29,10,10,29.99,0,,332
2015-4-2,48,GOOD,58,MODERATE,PM2.5,7,3,51,49,16,58,46,20,44,13,10,30.1,0,,223
2015-4-3,58,MODERATE,58,MODERATE,PM2.5,6,1,37,45,17,58,52,45,80,12,9,29.76,0.03,Rain,221
2015-4-4,58,MODERATE,43,GOOD,PM2.5,6,1,25,39,9,43,44,36,66,16,6,29.63,0.39,Fog-Rain-Thunderstorm,269
2015-4-5,43,GOOD,44,GOOD,Ozone,3,0,19,44,5,39,41,21,49,15,10,30.13,0,,243
2015-4-6,44,GOOD,44,GOOD,PM2.5,6,1,39,43,31,44,39,31,74,9,10,30.3,0,,70
2015-4-7,44,GOOD,48,GOOD,PM2.5,5,0,29,40,9,48,39,36,84,8,9,30.3,0.03,Rain,29
2015-4-8,48,GOOD,44,GOOD,Ozone,3,0,31,44,7,42,38,31,73,17,8,30.43,0.26,Rain-Snow,52
2015-4-9,44,GOOD,44,GOOD,Ozone,3,0,25,44,6,33,35,34,95,17,2,30.37,0.09,Rain,58
2015-4-10,44,GOOD,43,GOOD,NO2,5,1,43,40,4,39,46,42,95,8,4,29.94,0.09,Rain,114
2015-4-11,43,GOOD,43,GOOD,Ozone,5,0,18,43,6,33,50,32,61,17,10,29.86,0,,274
2015-4-12,43,GOOD,47,GOOD,Ozone,5,0,30,47,11,39,54,28,39,9,10,30.21,0,,258
2015-4-13,47,GOOD,80,MODERATE,Ozone,6,3,53,80,19,46,55,34,43,12,10,30.26,0,,194
2015-4-14,80,MODERATE,45,GOOD,Ozone,6,3,39,45,6,28,59,39,54,11,10,30.08,0.01,Rain,245
