Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-2-20,61,MODERATE,48,GOOD,Ozone,8,9,47,48,32,41,41,27,69,9,9,29.82,0,Rain-Snow,332
2015-2-21,48,GOOD,43,GOOD,Ozone,5,1,29,43,5,28,22,24,97,7,4,30.05,0.43,Fog-Snow,54
2015-2-22,43,GOOD,45,GOOD,Ozone,5,0,28,45,5,30,10,6,87,9,2,30.45,0.18,Snow,29
2015-2-23,45,GOOD,72,MODERATE,PM2.5,9,3,58,61,26,72,10,6,81,4,8,30.41,0.02,Snow,63
2015-2-24,72,MODERATE,67,MODERATE,Ozone,13,6,62,67,19,43,27,10,51,10,10,30.13,0,,184
2015-2-25,67,MODERATE,46,GOOD,NO2,11,4,46,44,10,21,26,22,82,9,5,30.01,0.28,Fog-Snow,359
2015-2-26,46,GOOD,45,GOOD,Ozone,5,1,31,45,6,30,10,7,83,9,6,30.25,0.11,Snow,96
2015-2-27,45,GOOD,62,MODERATE,PM2.5,8,3,50,46,19,62,8,2,72,7,10,30.16,0,,187
2015-2-28,62,MODERATE,81,MODERATE,PM2.5,13,6,60,47,30,81,12,6,78,5,9,30.14,0,,241
2015-3-1,81,MODERATE,88,MODERATE,PM2.5,9,3,53,47,29,88,17,12,80,5,8,30.3,0,,157
2015-3-2,88,MODERATE,134,UNHEALTHY FOR SENSITIVE GROUPS,PM2.5,10,7,70,49,51,134,22,19,80,6,7,29.9,0,,219
2015-3-3,134,UNHEALTHY FOR SENSITIVE GROUPS,73,MODERATE,NO2,9,7,73,47,15,57,24,16,84,8,5,29.87,0.15,Fog-Snow,29
2015-3-4,73,MODERATE,51,MODERATE,Ozone,8,1,49,51,12,39,11,6,81,8,7,30.27,0.06,Snow,85
2015-3-5,51,MODERATE,71,MODERATE,NO2,15,11,71,51,46,69,25,10,56,10,10,30.33,0,,169
2015-3-6,71,MODERATE,73,MODERATE,NO2,15,7,73,51,49,71,36,17,47,9,10,30.29,0,,167
2015-3-7,73,MODERATE,60,MODERATE,NO2,15,4,60,50,36,58,39,22,55,8,10,30.17,0,,196
2015-3-8,60,MODERATE,51,MODERATE,PM2.5,11,11,49,50,23,51,40,25,61,7,10,30.11,0,,179
2015-3-9,51,MODERATE,59,MODERATE,PM2.5,16,7,58,58,39,59,43,23,50,10,10,29.97,0,,169
2015-3-10,59,MODERATE,54,MODERATE,Ozone,11,11,52,54,45,52,46,21,42,8,10,30.05,0,,157
2015-3-11,54,MODERATE,57,MODERATE,NO2,15,14,57,50,53,52,50,20,34,10,10,30.1,0,,192
2015-3-12,57,MODERATE,59,MODERATE,PM10,10,14,58,48,59,52,52,23,36,8,10,30.08,0,,128
2015-3-13,59,MODERATE,49,GOOD,Ozone,8,19,46,49,39,40,50,31,53,8,10,30.31,0,,336
2015-3-14,49,GOOD,58,MODERATE,Ozone,9,6,40,58,26,33,50,21,42,10,10,30.23,0,,189
2015-3-15,58,MODERATE,54,MODERATE,Ozone,7,17,41,54,15,18,60,14,20,11,10,30.03,0,,180
2015-3-16,54,MODERATE,65,MODERATE,PM10,10,7,51,58,65,48,61,21,26,12,10,29.95,0,,126
2015-3-17,65,MODERATE,57,MODERATE,PM2.5,7,4,35,51,38,57,48,34,65,11,10,30.15,0,,150
2015-3-18,57,MODERATE,60,MODERATE,PM2.5,8,16,44,54,47,60,50,35,62,8,10,29.88,0.01,Rain,215
2015-3-19,60,MODERATE,50,GOOD,Ozone,7,4,35,50,24,47,38,37,91,6,8,30.09,0.58,Rain-Snow,325
2015-3-20,50,GOOD,54,MODERATE,Ozone,8,10,49,54,25,40,48,23,48,9,10,30.13,0,,175
2015-3-21,54,MODERATE,50,GOOD,Ozone,9,17,43,50,19,28,52,19,34,9,10,29.98,0,,180
2015-3-22,50,GOOD,47,GOOD,Ozone,7,4,36,47,19,27,54,22,30,9,10,29.94,0,,163
2015-3-23,47,GOOD,54,MODERATE,Ozone,8,6,44,54,37,44,54,27,42,15,10,29.83,0,Rain,170
2015-3-24,54,MODERATE,46,GOOD,Ozone,6,3,33,46,18,17,48,20,37,10,10,29.82,0,Rain,325
2015-3-25,46,GOOD,50,GOOD,Ozone,7,3,36,50,14,25,36,30,81,10,8,30.11,0.2,Fog-Rain-Snow,55
2015-3-26,50,GOOD,46,GOOD,NO2,7,4,46,44,23,21,44,23,47,8,10,30.15,0,,249
2015-3-27,46,GOOD,44,GOOD,Ozone,7,7,34,44,23,28,52,30,43,7,10,30.04,0,,264
2015-3-28,44,GOOD,49,GOOD,Ozone,6,11,37,49,23,21,61,26,29,10,10,29.89,0,,255
2015-3-29,49,GOOD,54,MODERATE,Ozone,6,4,33,54,40,43,50,23,34,11,10,30.07,0,,114
2015-3-30,54,MODERATE,64,MODERATE,Ozone,10,14,47,64,28,43,56,20,27,9,10,30.01,0,,241
2015-3-31,64,MODERATE,58,MODERATE,Ozone,8,23,52,58,47,32,60,19,24,8,10,29.83,0,,189
2015-4-1,58,MODERATE,71,MODERATE,Ozone,7,4,47,71,41,32,56,29,43,12,10,29.65,0.03,Rain-Thunderstorm,155
2015-4-2,71,MODERATE,54,MODERATE,Ozone,6,4,32,54,14,26,40,31,86,10,8,29.93,0.11,Rain-Snow,36
2015-4-3,54,MODERATE,58,MODERATE,Ozone,6,6,33,58,11,33,36,24,72,7,9,30.28,0,Snow,316
2015-4-4,58,MODERATE,58,MODERATE,Ozone,9,17,43,58,24,39,47,18,37,11,10,29.98,0,,149
2015-4-5,58,MODERATE,77,MODERATE,Ozone,7,6,53,77,18,28,52,16,29,8,10,29.65,0,,196
2015-4-6,77,MODERATE,64,MODERATE,Ozone,9,7,51,64,35,45,58,18,25,11,10,29.57,0,,160
2015-4-7,64,MODERATE,71,MODERATE,Ozone,8,11,27,71,32,65,50,40,78,7,7,29.78,0,Fog,14
2015-4-8,71,MODERATE,77,MODERATE,Ozone,6,1,34,77,29,59,50,39,78,8,10,29.67,0.06,Rain-Thunderstorm,6
2015-4-9,77,MODERATE,49,GOOD,Ozone,5,3,33,49,16,25,40,31,73,9,10,30,0,,69
2015-4-10,49,GOOD,71,MODERATE,Ozone,8,17,43,71,31,39,48,27,48,11,10,30.01,0,Rain,172
