Date,Previous Day Overall AQI Value,Previous Day Level of Health Concern,Overall AQI Value,Level of Health Concern,Main Pollutant,CO AQI Score,SO2 AQI Score,NO2 AQI Score,Ozone AQI Score,PM10 AQI Score,PM2.5 AQI Score,Avg. Temp,Avg. Dew Point,Avg. Humidity,Avg. Wind Speed,Avg. Visibility,Avg. Sea Level Pressure,Precipitation,Events,Wind Direction
2015-2-18,78,MODERATE,80,MODERATE,PM2.5,14,17,67,42,.,80,26,14,55,4,8,29.81,T,Snow,280
2015-2-19,80,MODERATE,58,MODERATE,PM2.5,9,9,48,38,.,58,18,-3,40,11,10,29.81,0,,294
2015-2-20,58,MODERATE,65,MODERATE,NO2,7,13,65,37,.,62,11,-10,39,10,10,30.25,0,,282
2015-2-21,65,MODERATE,60,MODERATE,PM2.5,9,17,46,35,.,60,23,15,59,4,4,30.33,0.61,Fog-Rain-Snow,229
2015-2-22,60,MODERATE,77,MODERATE,PM2.5,14,11,57,39,.,77,38,28,71,3,5,30.16,0.1,Rain-Snow,272
2015-2-23,77,MODERATE,62,MODERATE,PM2.5,13,13,31,38,14,62,23,1,45,11,10,30.29,0,,314
2015-2-24,62,MODERATE,52,MODERATE,PM2.5,9,21,41,33,.,52,14,-3,47,6,10,30.18,0,,227
2015-2-25,52,MODERATE,111,UNHEALTHY FOR SENSITIVE GROUPS,NO2,8,21,111,41,.,72,29,10,49,6,10,29.85,0,,281
2015-2-26,111,UNHEALTHY FOR SENSITIVE GROUPS,66,MODERATE,PM2.5,8,7,47,37,.,66,27,9,46,7,10,30.01,0,,26
2015-2-27,66,MODERATE,60,MODERATE,PM2.5,7,10,53,38,.,60,24,3,41,6,10,30.39,0,,319
2015-2-28,60,MODERATE,53,MODERATE,PM2.5,9,9,51,42,.,53,21,-2,40,4,10,30.74,0,,281
2015-3-1,53,MODERATE,68,MODERATE,PM2.5,10,16,58,35,18,68,28,16,56,2,4,30.44,0.52,Fog-Snow,273
2015-3-2,68,MODERATE,88,MODERATE,PM2.5,8,9,57,44,.,88,33,18,55,8,8,30.15,0,,302
2015-3-3,88,MODERATE,53,MODERATE,PM2.5,10,7,48,38,.,53,30,20,62,5,6,30.21,0.67,Rain-Snow,190
2015-3-4,53,MODERATE,86,MODERATE,PM2.5,14,7,46,32,.,86,40,35,81,6,5,29.85,0.25,Rain,258
2015-3-5,86,MODERATE,53,MODERATE,PM2.5,13,6,42,38,.,53,30,23,75,6,2,30.11,0.76,Fog-Rain-Snow,305
2015-3-6,53,MODERATE,55,MODERATE,NO2,9,7,55,36,.,47,20,3,48,6,9,30.45,0,,295
2015-3-7,55,MODERATE,79,MODERATE,PM2.5,9,10,54,45,33,79,28,11,47,5,10,30.18,0,,259
2015-3-8,79,MODERATE,68,MODERATE,PM2.5,10,13,66,58,.,68,43,22,44,5,10,30.07,0,,276
2015-3-9,68,MODERATE,71,MODERATE,NO2,11,9,71,49,.,56,47,24,41,5,10,30.16,0.01,Rain,272
2015-3-10,71,MODERATE,107,UNHEALTHY FOR SENSITIVE GROUPS,NO2,25,14,107,47,.,98,46,36,67,4,5,30.17,0.46,Rain,65
2015-3-11,107,UNHEALTHY FOR SENSITIVE GROUPS,68,MODERATE,NO2,14,7,68,49,.,56,52,39,61,7,7,29.97,0.01,Rain,287
2015-3-12,68,MODERATE,44,GOOD,Ozone,7,4,33,44,.,31,42,7,27,8,10,30.38,0,,318
2015-3-13,44,GOOD,51,MODERATE,NO2,9,4,51,44,19,46,37,9,38,7,10,30.55,0,,125
2015-3-14,51,MODERATE,51,MODERATE,PM2.5,13,3,47,41,.,51,46,41,73,6,5,30,0.81,Rain,214
2015-3-15,51,MODERATE,39,GOOD,Ozone,8,3,19,39,.,31,40,29,67,11,10,29.8,0,,295
2015-3-16,39,GOOD,76,MODERATE,NO2,14,7,76,39,.,59,44,25,49,4,10,29.93,0,,277
2015-3-17,76,MODERATE,62,MODERATE,NO2,13,10,62,39,.,56,46,27,49,10,10,29.69,0.02,Rain,295
2015-3-18,62,MODERATE,44,GOOD,Ozone,3,6,40,44,.,33,34,9,35,10,10,30.04,0,,316
2015-3-19,44,GOOD,50,GOOD,NO2,6,6,50,47,13,33,36,4,32,6,10,30.28,0,,302
2015-3-20,50,GOOD,57,MODERATE,PM2.5,10,4,49,47,.,57,34,19,58,8,4,30.25,0.4,Fog-Snow,67
